0,72063116,0
1,1558163,2
2,724535,5
3,407625,8
4,1154948,10
5,2,48
6,2,50
7,2,51
8,2,54
9,2,57
10,2,61
11,2,65
12,2,68
13,2,73
14,2,77
15,38410,80
16,2,81
17,38410,82
18,140868,85
19,2,86
20,376087,88
21,1542904,90
22,2,92
23,1539058,92
24,1546562,95
25,2,97
26,1552667,98
27,1528117,100
28,1493127,102
29,1480514,104
30,1480487,106
31,1480467,108
32,41100,110
33,27703,112
34,27697,114
35,9967,116
36,9965,118
37,9964,120
38,9964,122
39,9964,124
40,9964,126
41,9964,128
42,9964,130
43,718,132
44,718,134
45,718,136
46,718,138
47,718,140
48,718,142
49,718,144
50,717,146
51,717,148
52,717,150
53,1,152
54,1,154
55,1,156
56,1,158
57,1,160
58,1,162
59,1,164
60,1,166
61,1,168
62,1,170
63,1,172
64,1,174
65,1,176
66,1,178
67,57111,180
68,1387421,200
69,364982,207
70,364984,219
71,334248,233
72,306237,247
73,300741,250
74,281931,261
75,257860,277
76,235821,294
77,228782,300
78,216752,311
79,198304,330
80,181552,350
81,166357,371
82,94054,393
83,43954,416
84,37662,441
85,31948,468
86,21028,496
87,438009,500
88,149409,526
89,149409,557
90,149410,591
91,140186,626
92,130614,664
93,121760,704
94,113581,746
95,112855,750
96,105872,791
97,98787,838
98,92150,888
99,41265,942
100,14108,998
101,389414,1000
102,174285,1060
103,174285,1120
104,172888,1190
105,161428,1260
106,149933,1340
107,139854,1420
108,130952,1500
109,122108,1590
110,113490,1690
111,105925,1790
112,26467,1890
113,167676,2000
114,41282,2010
115,41283,2130
116,41282,2260
117,41284,2390
118,40274,2500
119,39233,2540
120,35689,2690
121,32444,2850
122,29811,3000
123,26800,3200
124,24367,3390
125,22066,3600
126,20096,3810
127,18545,4000
128,16586,4280
129,15048,4540
130,17813,4810
131,22273,5000
132,5644,5100
133,5644,5410
134,5643,5730
135,5643,6080
136,5644,6440
137,5644,6830
138,5643,7240
139,5643,7500
140,5643,7670
141,5644,8130
142,5644,8620
143,5157,9140
144,22691,9680
145,25120,10000
146,1553,10300
147,1553,10900
148,1553,11500
149,1553,12200
150,1553,12800
151,1555,13000
152,1554,13700
153,1554,14600
154,19000,15000
